name,web,facebook,twitter,alias,status,remarks
הליכוד,https://likud.org.il,https://www.facebook.com/LikudNetanyahu,likud_party,likud,pending,
המחנה הציוני,http://www.havoda.org.il/Web/Default.aspx,https://www.facebook.com/havoda,havodaparty,hamahane-hazioni,yes,
הבית היהודי,http://www.baityehudi.org.il,https://www.facebook.com/baityehudi.p,naftalibennett,habait-hayehudi,pending,
יש עתיד,http://www.yeshatid.org.il,https://www.facebook.com/pages/%D7%9E%D7%A4%D7%9C%D7%92%D7%AA-%D7%99%D7%A9-%D7%A2%D7%AA%D7%99%D7%93/426502237384307,YeshAtidParty,yeshatid,no,
ישראל ביתנו,http://www.beytenu.org.il/,https://www.facebook.com/beytenu,beytenu,yisrael-beitenu,no,
כולנו,,https://www.facebook.com/kulanu.kahlonim,,kulanu,no,
מרצ,http://meretz.org.il/,https://www.facebook.com/Meretz,meretzparty,meretz,yes,
הרשימה המשותפת,,,,reshima-aravit,yes,
העם איתנו,,https://www.facebook.com/pages/%D7%9E%D7%A4%D7%9C%D7%92%D7%AA-%D7%94%D7%A2%D7%9D-%D7%90%D7%99%D7%AA%D7%A0%D7%95/676455299137707,yachad2015,haam-itanu,no,
"ש""ס",,https://www.facebook.com/pages/%D7%9E%D7%A4%D7%9C%D7%92%D7%AA-%D7%A9%D7%A1-%D7%94%D7%93%D7%A3-%D7%94%D7%A8%D7%A9%D7%9E%D7%99/250584351635475,,shas,no,
יהדות התורה,,https://www.facebook.com/pages/%D7%99%D7%94%D7%93%D7%95%D7%AA-%D7%94%D7%AA%D7%95%D7%A8%D7%94/526338024136443,,yahadut-hatora,pending,"תמונת גפני: ""<a target=""_blank"" href=""https://he.wikipedia.org/wiki/%D7%A7%D7%95%D7%91%D7%A5:IIPDF3432i.JPG"">בית השלום</a>"", בכפוף לרישיון <a href=""https://creativecommons.org/licenses/by-sa/3.0/deed.he"">Creative Commons ייחוס-שיתוף זהה 3.0</a>"
